#SampleID	InputFileName	Description	Location	Habitat	Polymer	Isotope	Backbone	Treatment	Method	Phase
NIOZ164.6.7	515F.Golay151.926R.BC152.fasta	CB_filt_Ny_UV	Charles_Brown	Unknown	Ny	12C	Hetero	UV	Incubation	Filter
NIOZ164.7.1	515F.Golay153.926R.BC154.fasta	Zeelandia_1	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.2	515F.Golay155.926R.BC156.fasta	Zeelandia_2	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.3	515F.Golay157.926R.BC158.fasta	Zeelandia_3	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.4	515F.Golay159.926R.BC160.fasta	Zeelandia_4	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.5	515F.Golay161.926R.BC162.fasta	Zeelandia_5	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.6	515F.Golay163.926R.BC164.fasta	Zeelandia_6	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.7	515F.Golay165.926R.BC166.fasta	Zeelandia_7	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.8	515F.Golay167.926R.BC168.fasta	Zeelandia_8	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.7.9	515F.Golay169.926R.BC170.fasta	Zeelandia_9	Zeelandia	Beach	Unknown	12C	NA	NA 	Collection	Wild
NIOZ164.5.12	515F.Golay225.926R.BC226.fasta	CC19_filt_Ny	Crooks_Castle	Unknown	Ny	12C	NA	no_UV	Incubation	Filter
NIOZ164.126	515F.Golay251.926R.BC252.fasta	NTC3	NC	NA	NA	NA	NA	NA 	NA	NA
NIOZ164.127	515F.Golay253.926R.BC254.fasta	NTC2	NC	NA	NA	NA	NA	NA 	NA	NA
NIOZ164.128	515F.Golay255.926R.BC256.fasta	NTC1	NC	NA	NA	NA	NA	NA 	NA	NA
