"","x"
"399","Puniceispirillales Incertae Sedis"
"400","Pyrinomonadaceae"
"401","Reyranellaceae"
"402","Rhizobiaceae"
"403","Rhizobiales Incertae Sedis"
"404","Rhodanobacteraceae"
"405","Rhodobacteraceae"
"406","Rhodobiaceae"
"407","Rhodocyclaceae"
"408","Rhodomicrobiaceae"
"409","Rhodospirillaceae"
"410","Rhodothermaceae"
"411","Rickettsiaceae"
"412","Rikenellaceae"
"413","Roseiflexaceae"
"414","Rs-E47 termite group"
"415","Rs-M59 termite group"
"416","Ruaniaceae"
"417","Rubinisphaeraceae"
"418","Rubritaleaceae"
"419","Rubrobacteriaceae"
"420","Ruminococcaceae"
"421","S15A-MN91"
"422","S25-593"
"423","Saccharimonadaceae"
"424","Saccharospirillaceae"
"425","Salinisphaeraceae"
"426","Salinivirgaceae"
"427","Salisediminibacteriaceae"
"428","Sandaracinaceae"
"429","Sanguibacteraceae"
"430","Saprospiraceae"
"431","SAR116 clade"
"432","SAR86 clade"
"433","SB-5"
"434","SBYC"
"435","SBYC-2600"
"436","SBYX-4944"
"437","SC-I-84"
"438","SCGC AAA011-D5"
"439","SCGC AAA286-E23"
"440","Schleiferiaceae"
"441","Schlesneriaceae"
"442","Sedimenticolaceae"
"443","Selenomonadaceae"
"444","SG8-4"
"445","Shewanellaceae"
"446","Silvanigrellaceae"
"447","Simkaniaceae"
"448","SM23-30"
"449","SM2D12"
"450","Sneathiellaceae"
"451","Solimonadaceae"
"452","Solirubrobacteraceae"
"453","Sphingobacteriaceae"
"454","Sphingomonadaceae"
"455","Spirochaetaceae"
"456","Spirosomaceae"
"457","Spongiibacteraceae"
"458","Sporichthyaceae"
"459","Sporolactobacillaceae"
"460","Sporomusaceae"
"461","SR-FBR-L83"
"462","ST-12K33"
"463","ST-NAGAB-D1"
"464","Staphylococcaceae"
"465","Stappiaceae"
"466","Steroidobacteraceae"
"467","Streptococcaceae"
"468","Streptomycetaceae"
"469","Streptosporangiaceae"
"470","Sulfurimonadaceae"
"471","Sulfurospirillaceae"
"472","Sulfurovaceae"
"473","Sumerlaeaceae"
"474","Sutterellaceae"
"475","Sva1033"
"476","Synechococcales Incertae Sedis"
"477","Syntrophotaleaceae"
"478","T34"
"479","Tannerellaceae"
"480","TC1"
"481","Temperatibacteraceae"
"482","Tenderiaceae"
"483","Tepidisphaeraceae"
"484","Terasakiellaceae"
"485","Terrimicrobiaceae"
"486","TG3"
"487","Thalassobaculaceae"
"488","Thalassospiraceae"
"489","Thermaceae"
"490","Thermicanaceae"
"491","Thermoactinomycetaceae"
"492","Thermoanaerobaculaceae"
"493","Thermoflexaceae"
"494","Thermopetrobacteraceae"
"495","Thermosynechococcaceae"
"496","Thermotogaceae"
"497","Thioalkalispiraceae"
"498","Thioglobaceae"
"499","Thiohalorhabdaceae"
"500","Thiomicrospiraceae"
"501","Thiotrichaceae"
"502","Tistrellaceae"
"503","TRA3-20"
"504","Trueperaceae"
"505","Tsukamurellaceae"
"506","type III"
"507","UBA12409"
"508","UBA12411"
"509","Unknown Family"
"510","Vagococcaceae"
"511","Vampirovibrionaceae"
"512","Veillonellaceae"
"513","Vermiphilaceae"
"514","Verrucomicrobiaceae"
"515","Vibrionaceae"
"516","Vicinamibacteraceae"
"517","Waddliaceae"
"518","WD2101 soil group"
"519","Weeksellaceae"
"520","Woeseiaceae"
"521","Xanthobacteraceae"
"522","Xanthomonadaceae"
"523","Xenococcaceae"
"524","Xiphinematobacteraceae"
"525","Yersiniaceae"
