"","x"
"361","Cryobacterium"
"362","Cryomorpha"
"363","Cupriavidus"
"364","Curtobacterium"
"365","Curvibacter"
"366","Cutibacterium"
"367","Cyanobium PCC-6307"
"368","Cyanothece ATCC 51142 (UCYN-C)"
"369","Cylindrospermopsis CRJ1"
"370","Cytophaga"
"371","Daeguia"
"372","Dasania"
"373","DBS1"
"374","Dechloromonas"
"375","Deferrisoma"
"376","Defluviicoccus"
"377","Defluviimonas"
"378","Defluviitaleaceae UCG-011"
"379","Dehalobium"
"380","Deinococcus"
"381","Delftia"
"382","Demequina"
"383","Denitromonas"
"384","Dermabacter"
"385","Dermacoccus"
"386","Desulfarculus"
"387","Desulfatibacillum"
"388","Desulfatiglans"
"389","Desulfatirhabdium"
"390","Desulfatitalea"
"391","Desulfobacter"
"392","Desulfobacterium"
"393","Desulfobacula"
"394","Desulfobotulus"
"395","Desulfobulbus"
"396","Desulfocapsa"
"397","Desulfocarbo"
"398","Desulfocella"
"399","Desulfococcus"
"400","Desulfoconvexum"
"401","Desulfocurvus"
"402","Desulfofaba"
"403","Desulfofrigus"
"404","Desulfofustis"
"405","Desulfohalotomaculum"
"406","Desulfoluna"
"407","Desulfomonile"
"408","Desulfonema"
"409","Desulfopila"
"410","Desulforhopalus"
"411","Desulfosarcina"
"412","Desulfospira"
"413","Desulfotalea"
"414","Desulfotignum"
"415","Desulfovibrio"
"416","Desulfurispora"
"417","Desulfurivibrio"
"418","Desulfuromusa"
"419","Dethiosulfatarculus"
"420","Dethiosulfatibacter"
"421","DEV008"
"422","Devosia"
"423","dgA-11 gut group"
"424","Dialister"
"425","Diaphorobacter"
"426","Dietzia"
"427","Dinoroseobacter"
"428","Diplorickettsia"
"429","Diplosphaera"
"430","DMI"
"431","DNF00809"
"432","Dokdonia"
"433","Dolosigranulum"
"434","Donghicola"
"435","Dongia"
"436","Draconibacterium"
"437","DS001"
"438","DSSD61"
"439","Duganella"
"440","Dyadobacter"
"441","Dysgonomonas"
"442","Echinicola"
"443","Edaphobaculum"
"444","Eilatimonas"
"445","Eionea"
"446","Ekhidna"
"447","Elizabethkingia"
"448","Ellin6055"
"449","Emcibacter"
"450","Empedobacter"
"451","Emticicia"
"452","Endomicrobium"
"453","endosymbionts"
"454","Endothiovibrio"
"455","Endozoicomonas"
"456","Enhydrobacter"
"457","Enhygromyxa"
"458","Enterobacter"
"459","Enterococcus"
"460","Enterovibrio"
"461","Epibacterium"
"462","Epulopiscium"
"463","Erwinia"
"464","Erysipelothrix"
"465","Erythrobacter"
"466","Escherichia-Shigella"
"467","Ethanoligenens"
"468","Eubacterium"
"469","Eudoraea"
"470","Euryhalocaulis"
"471","Euzebya"
"472","Euzebyella"
"473","Exiguobacterium"
"474","Ezakiella"
"475","F0332"
"476","Fabibacter"
"477","Facklamia"
"478","Faecalibacterium"
"479","Falsirhodobacter"
"480","Fangia"
"481","Fastidiosipila"
"482","Fenollaria"
"483","Ferrimonas"
"484","Ferruginibacter"
"485","Fibrisoma"
"486","Filimonas"
"487","Filomicrobium"
"488","Finegoldia"
"489","Flagellimonas"
"490","Flammeovirga"
"491","Flavicella"
"492","Flaviflexus"
"493","Flavimaricola"
"494","Flavimarina"
"495","Flavirhabdus"
"496","Flavisolibacter"
"497","Flavitalea"
"498","Flavivirga"
"499","Flavobacterium"
"500","Flexithrix"
"501","Flexivirga"
"502","Fluviicola"
"503","Fodinicurvata"
"504","Foliisarcina"
"505","Formosa"
"506","Fournierella"
"507","Francisella"
"508","Fretibacter"
"509","Friedmanniella"
"510","Frigoribacterium"
"511","Frondibacter"
"512","Frondihabitans"
"513","FS140-16B-02 marine group"
"514","FS142-36B-02"
"515","Fuerstia"
"516","FukuN18 freshwater group"
"517","Fulvimarina"
"518","Fulvitalea"
"519","Fulvivirga"
"520","Fusibacter"
"521","Fusicatenibacter"
"522","Fusobacterium"
"523","Ga0074140"
"524","Gaiella"
"525","Galbitalea"
"526","Gangjinia"
"527","Gardnerella"
"528","Garritya"
"529","Gayadomonas"
"530","Geitlerinema PCC-7105"
"531","Gemella"
"532","Geminicoccus"
"533","Geminobacterium"
"534","Gemmata"
"535","Gemmatimonas"
"536","Gemmobacter"
"537","Geobacillus"
"538","Geodermatophilus"
"539","Geopsychrobacter"
"540","Georgenia"
"541","Geothermobacter"
"542","Geotoga"
"543","Gillisia"
"544","Gilvibacter"
"545","Gilvimarinus"
"546","Gimesia"
"547","Glaciecola"
"548","Gluconobacter"
"549","Glutamicibacter"
"550","Gordonia"
"551","Gracilimonas"
"552","Gramella"
"553","Granulicatella"
"554","Granulosicoccus"
"555","Grimontia"
"556","GWE2-31-10"
"557","GWE2-42-42"
"558","Haematobacter"
"559","Haematomicrobium"
"560","Haemophilus"
"561","Hafnia-Obesumbacterium"
"562","Hahella"
"563","Halalkalicoccus"
"564","Halarcobacter"
"565","Haliangium"
"566","Haliea"
"567","Halioglobus"
"568","Halioxenophilus"
"569","Haloactinopolyspora"
"570","Halobacillus"
"571","Halobacteriovorax"
"572","Halobellus"
"573","Halochromatium"
"574","Halococcus"
"575","Halocynthiibacter"
"576","Halodesulfovibrio"
"577","Haloferula"
"578","Halogeometricum"
"579","Halogranum"
"580","Halolamina"
"581","Halomarina"
"582","Halomicroarcula"
"583","Halomicronema TFEP1"
"584","Halomonas"
"585","Haloplasma"
"586","Halorubrum"
"587","Halorussus"
"588","Halovulum"
"589","Hansschlegelia"
"590","Hanstruepera"
"591","Haoranjiania"
"592","Hasllibacter"
"593","Hellea"
"594","Henriciella"
"595","Hephaestia"
"596","Herbaspirillum"
"597","Herminiimonas"
"598","HIMB11"
"599","Hirschia"
"600","HN-HF0106"
"601","Hoeflea"
"602","Holospora"
"603","Hoppeia"
"604","Hormoscilla SI04-45"
"605","Howardella"
"606","HTCC5015"
"607","Hwangdonia"
"608","Hwanghaeicola"
"609","Hydrogenophaga"
"610","Hydrogenophilus"
"611","Hydrogenovibrio"
"612","Hymenobacter"
"613","Hyphobacterium"
"614","Hyphococcus"
"615","Hyphomicrobium"
"616","Hyphomonas"
"617","Hypnocyclicus"
"618","Hyunsoonleella"
"619","I-8"
"620","Iamia"
"621","Ideonella"
"622","Idiomarina"
"623","Ignavibacterium"
"624","IheB2-23"
"625","IheB2-31"
"626","IheB3-7"
"627","Ilumatobacter"
"628","Ilyobacter"
"629","IMCC26134"
"630","IMCC26207"
"631","Imperialibacter"
"632","Inhella"
"633","Izimaplasma"
"634","Janibacter"
"635","Jannaschia"
"636","Janthinobacterium"
"637","JdFR-76"
"638","Jejudonia"
"639","Jeotgalibacillus"
"640","Jeotgalicoccus"
"641","JGI 0001001-H03"
"642","Jhaorihella"
"643","Johnsonella"
"644","JTB255 marine benthic group"
"645","Kaistia"
