"name","Incubation","Wild","Benthic","Pelagic","CharlesBrown","CrooksCastle","Pelagic.CB","Pelagic.CC","Benthic.CB","Benthic.CC"
29,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_unassigned",NA,NA,NA,NA,"Methylobacterium-Methylorubrum","Labrenzia","Vibrio"
30,NA,NA,"Altererythrobacter",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Methyloligellaceae_unassigned","Actibacterium","Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_unassigned_unassigned"
31,NA,NA,"Erythrobacter",NA,NA,NA,NA,"Labrenzia","Limibaculum","Woeseia"
32,NA,NA,"Vibrio",NA,NA,NA,NA,"Bradyrhizobium","Marinibacterium","Thiomicrorhabdus"
33,NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_unassigned_unassigned",NA,NA,NA,NA,"Ruegeria","Ruegeria","Bacteria_Proteobacteria_Gammaproteobacteria_Thiomicrospirales_Thiomicrospiraceae_unassigned"
34,NA,NA,"Woeseia",NA,NA,NA,NA,"Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_unassigned","Bacteria_Proteobacteria_Alphaproteobacteria_Rhodobacterales_Rhodobacteraceae_unassigned","Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_unassigned"
35,NA,NA,"Thiomicrorhabdus",NA,NA,NA,NA,"Erythrobacter","Bacteria_Proteobacteria_Gammaproteobacteria_Arenicellales_Arenicellaceae_unassigned","Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_unassigned"
36,NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiomicrospirales_Thiomicrospiraceae_unassigned",NA,NA,NA,NA,"Sphingomonas","Vibrio",NA
37,NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_unassigned",NA,NA,NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_BD7-8_unassigned_unassigned","Woeseia",NA
38,NA,NA,"Cerasicoccus",NA,NA,NA,NA,"Pelomonas","Thiomicrorhabdus",NA
39,NA,NA,"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_unassigned",NA,NA,NA,NA,"Undibacterium","Bacteria_Proteobacteria_Gammaproteobacteria_Thiotrichales_Thiotrichaceae_unassigned",NA
40,NA,NA,NA,NA,NA,NA,NA,"Acinetobacter","Cerasicoccus",NA
41,NA,NA,NA,NA,NA,NA,NA,"Moraxella","Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_unassigned",NA
42,NA,NA,NA,NA,NA,NA,NA,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_unassigned_unassigned",NA,NA
43,NA,NA,NA,NA,NA,NA,NA,"Woeseia",NA,NA
44,NA,NA,NA,NA,NA,NA,NA,"Stenotrophomonas",NA,NA
45,NA,NA,NA,NA,NA,NA,NA,"Bacteria_Verrucomicrobiota_Verrucomicrobiae_Verrucomicrobiales_DEV007_unassigned",NA,NA
